day,entry_ts,direction,option_type,strike,entry_spot,entry_premium,target_premium,stop_spot,stop_premium,exit_ts,exit_spot,exit_premium,exit_reason,pnl_per_lot,bars_held
2026-03-13,2026-03-13 09:45:00+05:30,bullish,CE,23400,23397.4,170.54,224.04,23309.0,703.88,2026-03-13 10:20:00+05:30,23311.85,127.54,stop,-3225.14,7
2026-03-17,2026-03-17 09:45:00+05:30,bearish,PE,23500,23484.5,153.96,181.56,23553.3,391.88,2026-03-17 10:15:00+05:30,23554.3,122.65,stop,-2348.34,6
2026-03-18,2026-03-18 09:45:00+05:30,bearish,PE,23750,23732.2,156.64,171.54,23769.2,407.65,2026-03-18 09:55:00+05:30,23691.25,171.54,target,1117.5,2
2026-03-23,2026-03-23 09:45:00+05:30,bullish,CE,22650,22663.0,173.37,266.97,22507.8,594.56,2026-03-23 11:00:00+05:30,22533.15,100.87,stop,-5437.51,15
2026-03-25,2026-03-25 09:45:00+05:30,bearish,PE,23250,23270.0,135.78,156.78,23323.0,365.1,2026-03-25 10:30:00+05:30,23310.25,112.97,stop,-1710.87,9
2026-03-27,2026-03-27 09:45:00+05:30,bullish,CE,23050,23039.25,163.71,203.91,22971.5,618.98,2026-03-27 10:20:00+05:30,23007.9,130.57,stop,-2485.24,7
2026-03-30,2026-03-30 09:45:00+05:30,bullish,CE,22650,22630.45,156.25,241.55,22485.5,541.99,2026-03-30 10:55:00+05:30,22490.2,92.63,stop,-4771.34,14
2026-04-02,2026-04-02 09:45:00+05:30,bullish,CE,22250,22235.65,155.98,249.88,22075.8,508.32,2026-04-02 12:45:00+05:30,22350.9,220.42,timeout,4833.1,36
2026-04-06,2026-04-06 09:45:00+05:30,bearish,PE,22600,22589.9,145.74,162.24,22629.7,346.34,2026-04-06 10:05:00+05:30,22614.95,127.27,stop,-1385.21,4
2026-04-07,2026-04-07 09:45:00+05:30,bullish,CE,22800,22818.25,177.34,213.24,22757.9,566.05,2026-04-07 09:55:00+05:30,22886.15,213.24,target,2692.5,2
2026-04-09,2026-04-09 09:45:00+05:30,bullish,CE,23800,23817.3,184.16,214.76,23765.7,583.31,2026-04-09 10:00:00+05:30,23817.4,157.12,stop,-2028.2,3
2026-04-10,2026-04-10 09:45:00+05:30,bearish,PE,23950,23973.25,138.68,161.98,24030.5,337.91,2026-04-10 10:05:00+05:30,23960.65,161.98,target,1747.5,4
2026-04-15,2026-04-15 09:45:00+05:30,bearish,PE,24200,24193.1,154.19,226.69,24365.5,296.4,2026-04-15 12:45:00+05:30,24216.6,141.84,timeout,-925.67,36
2026-04-16,2026-04-16 09:45:00+05:30,bearish,PE,24350,24327.9,162.49,199.39,24414.6,334.16,2026-04-16 11:40:00+05:30,24254.7,199.39,target,2767.5,23
2026-04-22,2026-04-22 09:45:00+05:30,bullish,CE,24400,24416.95,188.37,220.37,24362.1,504.86,2026-04-22 10:00:00+05:30,24383.25,159.73,stop,-2148.53,3
2026-04-23,2026-04-23 09:45:00+05:30,bullish,CE,24250,24271.65,189.85,238.05,24189.0,481.41,2026-04-23 10:45:00+05:30,24205.65,147.03,stop,-3211.06,12
2026-04-29,2026-04-29 09:45:00+05:30,bearish,PE,24150,24164.95,143.68,160.78,24205.2,293.94,2026-04-29 10:00:00+05:30,24201.3,125.98,stop,-1327.11,3
2026-04-30,2026-04-30 09:45:00+05:30,bullish,CE,23900,23920.55,186.67,234.77,23837.2,420.65,2026-04-30 10:05:00+05:30,23842.15,144.07,stop,-3195.43,4
2026-05-06,2026-05-06 09:45:00+05:30,bearish,PE,24150,24136.9,156.85,183.25,24196.3,270.48,2026-05-06 11:00:00+05:30,24074.45,183.25,target,1980.0,15
2026-05-08,2026-05-08 09:45:00+05:30,bullish,CE,24150,24168.55,187.41,216.61,24117.2,376.18,2026-05-08 10:20:00+05:30,24231.5,216.61,target,2190.0,7
2026-05-11,2026-05-11 09:45:00+05:30,bullish,CE,23900,23885.0,167.76,225.36,23780.2,300.86,2026-05-11 12:45:00+05:30,23940.9,196.15,timeout,2129.47,36
2026-05-12,2026-05-12 09:45:00+05:30,bullish,CE,23650,23638.2,167.57,194.37,23589.3,318.45,2026-05-12 11:00:00+05:30,23590.6,142.67,stop,-1867.41,15
2026-05-14,2026-05-14 09:45:00+05:30,bearish,PE,23500,23492.65,150.04,172.94,23543.4,227.28,2026-05-14 09:55:00+05:30,23464.45,172.94,target,1717.5,2
2026-05-18,2026-05-18 09:45:00+05:30,bullish,CE,23350,23342.4,167.55,215.65,23253.8,240.42,2026-05-18 10:35:00+05:30,23429.0,215.65,target,3607.5,10
2026-05-20,2026-05-20 09:45:00+05:30,bullish,CE,23500,23522.25,184.68,226.28,23447.8,243.81,2026-05-20 11:20:00+05:30,23582.05,226.28,target,3120.0,19
2026-05-21,2026-05-21 09:45:00+05:30,bearish,PE,23800,23785.55,155.32,194.02,23868.5,178.09,2026-05-21 11:00:00+05:30,23713.4,194.02,target,2902.5,15
2026-05-25,2026-05-25 09:45:00+05:30,bearish,PE,23950,23937.85,155.15,200.55,24033.5,142.39,2026-05-25 12:45:00+05:30,23941.85,151.85,timeout,-247.16,36
